,word,percent
173,written verbal,13.157894736842104
174,verbal skill,5.263157894736842
175,year relevant,5.263157894736842
176,relevant experience.,5.263157894736842
177,"engineering, operation",5.263157894736842
178,able obtain,5.263157894736842
179,senior leadership,5.263157894736842
180,duty assigned.,7.894736842105263
181,"mathematics, engineering,",5.263157894736842
182,web service,7.894736842105263
183,demonstrated architecting,5.263157894736842
184,solution current,5.263157894736842
185,monitoring system,5.263157894736842
186,effectively communicate,10.526315789473683
187,employer discriminate,7.894736842105263
188,discriminate basis,5.263157894736842
189,"basis race,",5.263157894736842
190,"sex, age,",5.263157894736842
191,"marital status,",15.789473684210526
192,"disability, veteran",7.894736842105263
193,req id:,5.263157894736842
194,"ntt services,",5.263157894736842
195,"integrity, commitment",5.263157894736842
196,help client,10.526315789473683
197,ntt service,10.526315789473683
